,AMZN_OPT,AMZN,rf,FB,FB_OPT,EA,EA_OPT,NFLX,NFLX_OPT,ADBE,ADBE_OPT
2019/9/3 9:30,,1793.1801,1.4893,185.55,,,,292.88,,,
2019/9/3 9:40,,1790.53,1.5011,185.25,,,,292.605,,,
2019/9/3 9:50,,1789.4,1.5045,185.0258,,,,292.37,,,
2019/9/3 10:00,,1785,1.4439,183.99,,,,290.7,,,
2019/9/3 10:10,,1785.12,1.4422,183.93,,,,290.6858,,,
2019/9/3 10:20,,1790.71,1.4489,184.15,,,,290.925,,,
2019/9/3 10:30,,1787.49,1.4422,183.74,,,,290.25,,,
2019/9/3 10:40,,1794,1.4473,184.62,,,,291.5,,,
2019/9/3 10:50,,1797.2393,1.4422,184.96,,,,291.88,,,
2019/9/3 11:00,,1793.075,1.4372,184.67,,,,291.2,,,
2019/9/3 11:10,,1792.985,1.4305,184.23,,,,291.06,,,
2019/9/3 11:20,,1795.4153,1.4422,184.02,,,,291.44,,,
2019/9/3 11:30,,1797.77,1.4389,184.3,,,,291.7,,,
2019/9/3 11:40,,1799.7261,1.4506,184.47,,,,293.21,,,
2019/9/3 11:50,,1797.2999,1.4439,184.03,,,,292.7726,,,
2019/9/3 12:00,,1794.5,1.4456,183.6481,,,,292.11,,,
2019/9/3 12:10,,1796.062,1.4523,183.7828,,,,292.72,,,
2019/9/3 12:20,,1796.48,1.4523,183.68,,,,292.185,,,
2019/9/3 12:30,,1796.1,1.4523,183.65,,,,292.14,,,
2019/9/3 12:40,,1797.2894,1.4573,183.83,,,,292,,,
2019/9/3 12:50,,1793.9301,1.4506,183.45,,,,291.39,,,
2019/9/3 13:00,,1793.015,1.454,183.36,,,,291.202,,,
2019/9/3 13:10,,1791.99,1.4556,183.13,,,,290.76,,,
2019/9/3 13:20,,1791.3101,1.4607,183.13,,,,290.75,,,
2019/9/3 13:30,,1789.1,1.4556,183.02,,,,289.7659,,,
2019/9/3 13:40,,1787.46,1.459,182.7543,,,,289.6,,,
2019/9/3 13:50,,1785.54,1.4573,182.66,,,,289.5778,,,
2019/9/3 14:00,,1788.265,1.4573,182.7181,,,,290.0298,,,
2019/9/3 14:10,,1785.67,1.4624,182.69,,,,288.98,,,
2019/9/3 14:20,,1789.5912,1.4624,182.9286,,,,289.55,,,
2019/9/3 14:30,,1791.3287,1.4624,182.96,,,,289.53,,,
2019/9/3 14:40,,1790.3722,1.4657,182.525,,,,288.99,,,
2019/9/3 14:50,,1790.436,1.464,182.3695,,,,288.22,,,
2019/9/3 15:00,,1789.02,1.4725,182.23,,,,288.4,,,
2019/9/3 15:10,,1789.98,1.4708,182.45,,,,288.69,,,
2019/9/3 15:20,,1791.3,1.4708,182.4586,,,,288.83,,,
2019/9/3 15:30,,1793.53,1.4708,182.47,,,,288.7,,,
2019/9/3 15:40,,1794.118,1.4691,182.51,,,,289.11,,,
2019/9/3 15:50,,1789.84,,182.39,,,,289.29,,,
2019/9/4 9:30,,1802.4482,1.4859,185.07,,,,290.39,,,
2019/9/4 9:40,,1800.29,1.4842,184.97,,,,288.26,,,
